Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,price,terms,section
185102,Aisle,No,Clothing,No,2823,19.99,jackets,MAN
188771,Aisle,No,Clothing,No,654,169,jackets,MAN
180176,End-cap,Yes,Clothing,Yes,2220,129,jackets,MAN
112917,Aisle,Yes,Clothing,Yes,1568,129,jackets,MAN
192936,End-cap,No,Clothing,Yes,2942,139,jackets,MAN
117590,End-cap,No,Clothing,No,2968,79.9,jackets,MAN
189118,Front of Store,Yes,Clothing,Yes,952,69.99,jackets,MAN
182157,Aisle,No,Clothing,No,2421,159,jackets,MAN
141861,Aisle,Yes,Clothing,Yes,1916,169,jackets,MAN
137121,Aisle,No,Clothing,Yes,656,169,jackets,MAN
113143,Aisle,Yes,Clothing,Yes,2663,129,jackets,MAN
140028,Aisle,Yes,Clothing,Yes,1260,159,jackets,MAN
134693,Aisle,Yes,Clothing,No,2124,169,jackets,MAN
151396,Front of Store,Yes,Clothing,Yes,729,439,jackets,MAN
132889,Aisle,Yes,Clothing,Yes,2265,99.9,jackets,MAN
152174,End-cap,No,Clothing,No,2226,99.9,jackets,MAN
129906,Aisle,No,Clothing,No,2089,69.9,jackets,MAN
195879,Front of Store,Yes,Clothing,Yes,2339,129,jackets,MAN
155050,Aisle,No,Clothing,Yes,2321,129,jackets,MAN
194410,End-cap,No,Clothing,No,669,159,jackets,MAN
141904,End-cap,Yes,Clothing,Yes,1712,109,jackets,MAN
124981,Front of Store,No,Clothing,Yes,1832,89.9,jackets,MAN
161909,Aisle,Yes,Clothing,No,1290,299,jackets,MAN
129152,End-cap,No,Clothing,No,2356,49.9,jackets,MAN
183243,Front of Store,Yes,Clothing,No,1524,169,jackets,MAN
198248,Front of Store,Yes,Clothing,No,1644,69.9,jackets,MAN
191230,End-cap,No,Clothing,No,966,89.9,jackets,MAN
187234,Front of Store,Yes,Clothing,Yes,2575,59.9,jackets,MAN
148888,Front of Store,No,Clothing,No,2774,109,jackets,MAN
110805,Front of Store,Yes,Clothing,No,2477,159,jackets,MAN
179801,Front of Store,No,Clothing,Yes,2608,129,jackets,MAN
134927,Aisle,Yes,Clothing,Yes,2252,129,jackets,MAN
123150,End-cap,Yes,Clothing,No,2074,129,jackets,MAN
159145,End-cap,Yes,Clothing,No,2579,109,jackets,MAN
172364,Aisle,Yes,Clothing,No,2931,109,jackets,MAN
178281,End-cap,No,Clothing,Yes,1145,109,jackets,MAN
194339,End-cap,No,Clothing,No,1792,89.9,jackets,MAN
174412,Aisle,No,Clothing,Yes,1796,69.9,jackets,MAN
114877,Aisle,No,Clothing,No,1860,349,jackets,MAN
140727,End-cap,Yes,Clothing,Yes,1002,79.9,jackets,MAN
133109,Front of Store,No,Clothing,Yes,2063,79.9,jackets,MAN
127296,Aisle,No,Clothing,No,1165,89.9,jackets,MAN
133757,Aisle,Yes,Clothing,No,2071,129,jackets,MAN
111760,End-cap,No,Clothing,No,1474,109,jackets,MAN
198375,End-cap,No,Clothing,No,2202,69.9,jackets,MAN
168837,Aisle,No,Clothing,No,665,89.9,jackets,MAN
138505,Front of Store,No,Clothing,No,2478,69.9,jackets,MAN
116228,End-cap,Yes,Clothing,No,647,89.9,jackets,MAN
167592,Front of Store,Yes,Clothing,No,707,89.9,jackets,MAN
133100,End-cap,Yes,Clothing,No,2729,89.9,jackets,MAN
119955,Front of Store,No,Clothing,No,1590,89.9,jackets,MAN
189349,End-cap,Yes,Clothing,No,1245,89.9,jackets,MAN
127478,Front of Store,No,Clothing,Yes,2498,129,jackets,MAN
180661,Front of Store,No,Clothing,Yes,1041,129,jackets,MAN
186681,End-cap,No,Clothing,Yes,1717,19.99,jackets,MAN
133183,Front of Store,Yes,Clothing,Yes,2859,89.9,jackets,MAN
173508,Aisle,Yes,Clothing,No,1658,129,jackets,MAN
187930,End-cap,No,Clothing,Yes,706,89.9,jackets,MAN
124088,End-cap,Yes,Clothing,Yes,2065,79.9,jackets,MAN
190238,Front of Store,No,Clothing,Yes,1917,89.9,jackets,MAN
163234,Front of Store,No,Clothing,No,1633,89.9,jackets,MAN
135610,Aisle,Yes,Clothing,Yes,1513,109,jackets,MAN
117065,Aisle,Yes,Clothing,Yes,758,109,jackets,MAN
149315,End-cap,Yes,Clothing,No,718,109,jackets,MAN
149510,Aisle,No,Clothing,Yes,1412,59.9,jackets,MAN
137990,Aisle,No,Clothing,No,2929,29.99,jackets,MAN
154016,End-cap,Yes,Clothing,Yes,2366,189,jackets,MAN
117751,Aisle,No,Clothing,No,2749,89.9,jackets,MAN
182362,Front of Store,No,Clothing,No,2019,69.9,jackets,MAN
117725,Aisle,No,Clothing,Yes,1506,109,jackets,MAN
145289,End-cap,No,Clothing,No,1012,109,jackets,MAN
175059,Aisle,Yes,Clothing,No,2170,49.9,jackets,MAN
199368,Front of Store,No,Clothing,Yes,1061,139,jackets,MAN
162883,Front of Store,Yes,Clothing,No,786,139,jackets,MAN
135490,Front of Store,No,Clothing,No,1094,139,jackets,MAN
125408,End-cap,Yes,Clothing,Yes,2220,89.9,jackets,MAN
134763,Front of Store,No,Clothing,Yes,2048,89.9,jackets,MAN
143231,Aisle,No,Clothing,No,2578,89.9,jackets,MAN
125409,End-cap,Yes,Clothing,No,2040,89.9,jackets,MAN
183074,Aisle,No,Clothing,No,2791,89.9,jackets,MAN
147947,Aisle,Yes,Clothing,Yes,1249,89.9,jackets,MAN
174171,Front of Store,Yes,Clothing,Yes,2273,89.9,jackets,MAN
183064,Front of Store,Yes,Clothing,No,1773,89.9,jackets,MAN
177131,Aisle,Yes,Clothing,Yes,1733,69.9,jackets,MAN
128179,End-cap,Yes,Clothing,No,2060,89.9,jackets,MAN
152723,Aisle,No,Clothing,Yes,2849,169,jackets,MAN
123824,Aisle,Yes,Clothing,No,2277,169,jackets,MAN
166345,Aisle,No,Clothing,Yes,1135,69.9,jackets,MAN
199279,Aisle,No,Clothing,No,1770,19.99,jackets,MAN
167981,End-cap,No,Clothing,No,730,139,jackets,MAN
146839,Aisle,No,Clothing,No,1525,109,jackets,MAN
187180,Front of Store,No,Clothing,Yes,647,109,jackets,MAN
167640,End-cap,Yes,Clothing,Yes,1017,109,jackets,MAN
165158,Front of Store,No,Clothing,No,1622,109,jackets,MAN
111521,Front of Store,Yes,Clothing,Yes,2553,99.9,jackets,MAN
120228,End-cap,No,Clothing,No,2347,89.9,jackets,MAN
133078,Aisle,No,Clothing,Yes,2535,69.9,jackets,MAN
137598,Aisle,No,Clothing,Yes,2839,139,jackets,MAN
138779,Front of Store,Yes,Clothing,Yes,2801,139,jackets,MAN
198329,Front of Store,Yes,Clothing,Yes,628,109,jackets,MAN
110295,End-cap,Yes,Clothing,No,1448,129,jackets,MAN
196427,Aisle,Yes,Clothing,No,1401,169,jackets,MAN
110075,Front of Store,Yes,Clothing,Yes,2185,159,jackets,MAN
132322,Front of Store,Yes,Clothing,No,2135,12.99,jackets,MAN
199631,Front of Store,Yes,Clothing,No,1269,89.9,jackets,MAN
182306,Front of Store,No,Clothing,No,2805,89.9,jackets,MAN
194915,Aisle,Yes,Clothing,No,1796,79.9,jackets,MAN
131298,End-cap,Yes,Clothing,No,2133,69.9,jackets,MAN
168571,Aisle,No,Clothing,No,1778,89.9,jackets,MAN
154224,End-cap,Yes,Clothing,No,2474,89.9,jackets,MAN
171061,Aisle,No,Clothing,Yes,2032,59.9,jackets,MAN
119049,Aisle,No,Clothing,Yes,1659,89.9,jackets,MAN
158781,End-cap,Yes,Clothing,Yes,2443,69.9,jackets,MAN
151438,Aisle,No,Clothing,Yes,1137,69.9,jackets,MAN
152871,End-cap,No,Clothing,Yes,1847,69.9,jackets,MAN
126806,End-cap,Yes,Clothing,Yes,2404,109,jackets,MAN
134104,End-cap,No,Clothing,Yes,1466,59.9,jackets,MAN
120266,Front of Store,No,Clothing,No,2328,59.9,jackets,MAN
173550,End-cap,No,Clothing,Yes,1431,59.9,jackets,MAN
175927,End-cap,No,Clothing,Yes,1506,109,jackets,MAN
154278,End-cap,No,Clothing,Yes,2749,89.9,jackets,MAN
183537,Front of Store,Yes,Clothing,Yes,2434,19.99,jackets,MAN
150424,Front of Store,No,Clothing,Yes,2067,79.9,jackets,MAN
183825,Aisle,Yes,Clothing,Yes,2989,19.99,jackets,MAN
144012,Front of Store,Yes,Clothing,No,743,59.9,jackets,MAN
147051,Front of Store,No,Clothing,No,2325,109,jackets,MAN
185800,End-cap,No,Clothing,Yes,1841,109,jackets,MAN
197524,Aisle,Yes,Clothing,Yes,2231,49.9,jackets,MAN
148823,Aisle,No,Clothing,Yes,2211,89.9,shoes,MAN
114550,End-cap,No,Clothing,No,2114,69.9,shoes,MAN
125398,Aisle,Yes,Clothing,Yes,1350,69.9,shoes,MAN
123985,End-cap,No,Clothing,No,2240,69.9,shoes,MAN
186638,End-cap,Yes,Clothing,No,1296,59.9,shoes,MAN
167281,End-cap,Yes,Clothing,Yes,892,59.9,shoes,MAN
118578,End-cap,No,Clothing,Yes,1678,49.9,shoes,MAN
174041,End-cap,No,Clothing,No,2016,49.9,shoes,MAN
127644,Front of Store,No,Clothing,Yes,1498,45.9,shoes,MAN
132007,Aisle,No,Clothing,Yes,2491,9.99,shoes,MAN
147998,Aisle,No,Clothing,No,2556,9.99,shoes,MAN
176666,Aisle,Yes,Clothing,No,2852,45.9,shoes,MAN
193686,Aisle,Yes,Clothing,No,1899,99.9,shoes,MAN
163610,Front of Store,Yes,Clothing,No,2466,89.9,shoes,MAN
170364,Aisle,No,Clothing,No,818,45.9,shoes,MAN
